Frame 0, Person 0:
  Keypoint 5: (x=514.92, y=382.10, confidence=1.00)
  Keypoint 6: (x=437.00, y=389.58, confidence=1.00)
  Keypoint 7: (x=708.37, y=360.79, confidence=0.99)
  Keypoint 8: (x=677.22, y=275.31, confidence=0.98)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
Frame 9, Person 3:
  Keypoint 0: (x=1231.06, y=242.44, confidence=0.98)
  Keypoint 1: (x=1184.67, y=281.81, confidence=0.98)
  Keypoint 2: (x=1262.71, y=293.15, confidence=0.97)
  Keypoint 3: (x=1221.85, y=326.86, confidence=0.96)
  Keypoint 4: (x=1250.80, y=339.79, confidence=0.97)
  Keypoint 5: (x=1127.59, y=322.57, confidence=0.97)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.01)
  Keypoint 7: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 8: (x=0.00, y=0.00, confidence=0.08)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
Frame 10, Person 0:
  Keypoint 0: (x=177.40, y=273.17, confidence=1.00)
  Keypoint 1: (x=150.31, y=333.77, confidence=1.00)
  Keypoint 2: (x=225.35, y=319.03, confidence=1.00)
  Keypoint 3: (x=192.18, y=370.57, confidence=1.00)
  Keypoint 4: (x=266.50, y=377.13, confidence=1.00)
  Keypoint 5: (x=144.98, y=381.78, confidence=1.00)
  Keypoint 6: (x=113.48, y=472.51, confidence=1.00)
  Keypoint 7: (x=334.16, y=429.12, confidence=0.99)
  Keypoint 8: (x=330.71, y=312.24, confidence=0.99)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.03)
Frame 10, Person 1:
  Keypoint 0: (x=884.13, y=265.66, confidence=1.00)
  Keypoint 1: (x=843.85, y=320.26, confidence=1.00)
  Keypoint 2: (x=925.36, y=324.52, confidence=1.00)
  Keypoint 3: (x=882.72, y=360.54, confidence=1.00)
  Keypoint 4: (x=928.47, y=365.32, confidence=0.99)
  Keypoint 5: (x=811.82, y=361.92, confidence=1.00)
  Keypoint 6: (x=767.54, y=370.04, confidence=0.98)
  Keypoint 7: (x=959.88, y=391.00, confidence=0.98)
  Keypoint 8: (x=964.01, y=304.23, confidence=0.98)
  Keypoint 9: (x=822.69, y=312.83, confidence=1.00)
Frame 10, Person 2:
  Keypoint 0: (x=589.33, y=273.86, confidence=1.00)
  Keypoint 1: (x=555.59, y=332.14, confidence=1.00)
  Keypoint 2: (x=635.47, y=320.29, confidence=1.00)
  Keypoint 3: (x=592.86, y=372.69, confidence=1.00)
  Keypoint 4: (x=654.54, y=382.61, confidence=1.00)
  Keypoint 5: (x=514.74, y=382.13, confidence=1.00)
  Keypoint 6: (x=437.16, y=389.45, confidence=1.00)
  Keypoint 7: (x=707.91, y=360.64, confidence=0.99)
  Keypoint 8: (x=676.73, y=275.31, confidence=0.98)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
